icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
748051,OD-MEE,Airbus,A330 243,A332,,CEDAR JET,MEA,
400776,G-VIIY,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
aa67ac,N77LD,Cirrus Design Corp,SF50,SF50,,,,
406b62,G-EUYX,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
484fde,PH-BCD,Boeing,737NG 8K2/W,B738,,KLM,KLM,
4d226d,9H-QBR,,,B738,,,,
502d23,YL-AAU,,A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
aa4195,N760AN,Boeing,777-223,B772,,AMERICAN,AAL,
3442c9,EC-LTF,Bombardier,Bombardier Global 6000,GLEX,,,,
347344,EC-NVS,,,A20N,,,,
4ca81d,EI-DTM,Airbus Industrie,A320-216,A320,Alitalia,ALITALIA,AZA,AZ
4cc279,TF-ISO,Boeing,Boeing 767-319(ER),B763,,ICEAIR,ICE,
4cafb4,EI-GSH,Boeing,737-800,B738,Ryanair,RYANAIR,RYR,FR
3c5421,D-AEAA,Airbus,A300 B4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
c078ac,C-GTSD,Airbus Industrie,A330-343 (Airbus),A333,,TRANSAT,TSC,
48af03,SP-LVD,,,B38M,Lot Polish Airlines,POLLOT,LOT,LO
3c6743,D-AIZC,Airbus,A320 214,A320,,LUFTHANSA,DLH,
4855d1,PH-EXO,Embraer,EMB-175 200STD,E75L,,CITY,KLC,
4ca4f8,EI-DPV,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4d233d,9H-XOB,,,C56X,,,,
44cdc6,OO-SNF,Airbus,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
ab1979,N814NW,Airbus,A330-323,A333,,DELTA,DAL,
4bb26d,TC-LSM,,,A21N,,,,
86e79a,JA872A,Boeing,787 9,B789,,ALL NIPPON,ANA,
406e10,G-VDIA,Boeing Company,BOEING 787-9 Dreamliner,B789,Virgin Atlantic Airways,VIRGIN,VIR,VS
3c66ab,D-AIUK,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
491306,CS-DXF,Cessna,560XLS Citation Excel,C56X,,,,
406b21,G-XLEH,Airbus Sas,AIRBUS A380-841,A388,,SPEEDBIRD,BAW,
4ca6d6,EI-FNW,The Boeing Company,BOEING 737-86N,B738,,MERAIR,ISS,
4952cb,CS-TVK,,,A20N,,,,
400a5b,G-DBCA,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
471f58,HA-LWQ,Airbus,A320-232,A320,Wizz Air,WIZZAIR,WZZ,W6
3c66ae,D-AIUN,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
345687,EC-MTZ,Canadair Regional Jet,CRJ-1000,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
4bb273,TC-LSS,,,A21N,,,,
3c6635,D-AIQU,Airbus,A320 211,A320,,LUFTHANSA,DLH,
738053,4X-EHD,Boeing,737NG 958ER/W,B739,,ELAL,ELY,
4b1805,HB-JCN,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
484bd1,PH-EZF,Embraer,EMB-190 STD,E190,,CITY,KLC,
400795,G-EMBI,Empresa Brasileira De Aeronautica Sa,EMB-145EP,E145,,,BMR,
495299,CS-TTY,Embraer,Embraer E195AR,E190,Tap Express,,,
344305,EC-LUK,Airbus,Airbus A330-302,A333,Iberia Airlines,IBERIA,IBE,IB
347303,EC-NXV,,,B738,,,,
39cf06,F-HTYG,Airbus Industrie,A350-941,A359,Air France,AIRFRANS,AFR,AF
405a4a,G-EUYB,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
461e17,OH-LKH,Embraer,EMB-190 LR,E190,,FINNAIR,FIN,
484166,PH-BXN,Boeing,737NG 8K2/W,B738,,KLM,KLM,
440030,OE-IVB,,,A320,,,,
3c4b4b,D-ABZK,Airbus,A320 216,A320,,EUROWINGS,EWG,
440af5,OE-IWA,,,B738,,,,
a05648,N12012,Boeing,787-10,B78X,United Airlines,UNITED,UAL,UA
4d2302,9H-VUD,,,B38M,Ryanair,RYANAIR,RYR,FR
346555,EC-NLP,,A350-941,A359,Iberia Airlines,IBERIA,IBE,IB
392aee,F-GKXO,Airbus,A320 214,A320,,AIRFRANS,AFR,
3950cc,F-GUGM,Airbus,A318 111,A318,,AIRFRANS,AFR,
47c1f7,LN-FGG,,,B38M,,,,
3c6447,D-AIBG,Airbus,A319 112,A319,,LUFTHANSA,DLH,
34444b,EC-LRG,Airbus,A320 214,A320,,IBERIA,IBE,
400935,G-EUPZ,Airbus Industrie,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
392af4,F-GKXU,Airbus,A320 214,A320,,AIRFRANS,AFR,
4b187b,HB-JHB,Airbus,A330-343,A333,Swiss International Air Lines,SWISS,SWR,LX
4075fd,G-TTNH,Airbus Industrie,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
3c64c6,D-AIFF,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
4cac7b,EI-SIL,,,A20N,,,,
c01725,C-FITW,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
3c6543,D-AIJC,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
a254da,N24976,Boeing,787-9,B789,United Airlines,UNITED,UAL,UA
4b1881,HB-JHH,Airbus,A330-343,A333,Swiss International Air Lines Ltd.,SWISS,SWR,LX
4bd032,TC-TAR,Cessna,150M,C150,,,,
484cba,PH-BVF,Boeing,777 306ER,B77W,,KLM,KLM,
c02ec1,C-FRSI,The Boeing Company,787-9 (Boeing),B789,,AIR CANADA,ACA,
484b2a,PH-HSA,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
020058,CN-ROA,Boeing,737NG 8B6/W,B738,Royal Air Maroc,ROYALAIR MAROC,RAM,AT
71be29,HL7629,Boeing,747 8B5F,B748,,KOREANAIR,KAL,
440cec,OE-IXF,,,B738,,,,
4ca27c,EI-DHO,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4076cd,G-TTNJ,Airbus Industrie,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
a754b5,N57111,Boeing,757-224,B752,,UNITED,UAL,
781e13,B-32AS,,,A359,,,,
407e21,G-VLDY,,,A339,,,,
789230,B-LXJ,Airbus Industrie,A350-1041,A35K,Cathay Pacific,CATHAY,CPA,CX
aac337,N793AN,Boeing,777-223,B772,,AMERICAN,AAL,
c07b42,C-GURP,,B787-9,B789,Westjet,WESTJET,WJA,WS
484a94,PH-PXD,Eurocopter,EC135 P2+,EC35,Klpd Police Aviation Service,ZXP04,,
a4ce71,N409DX,Airbus,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
